reactionId	compartment	equation	formula
vbR	Cytoplasm	 => Ribosome	kbR_1+(kbR_2*((pS6K^kbR_3)/((kbR_4^kbR_3)+(pS6K^kbR_3))))
vdR	Cytoplasm	Ribosome => 	kvdR * Ribosome
vTL1	Nucleus	 => p53inac	kTL1_1*m_TP53*(EIF4E/(kTL1_2+EIF4E))
vTL2	Nucleus	 => MDM2	(kTL2_1+kTL2_2*MDM2pro)*m_MDM2*(EIF4E/(kTL2_3+EIF4E))
vTL3	Nucleus	 => Wip1	kTL3_1*Wip1pro*m_PPM1D*(EIF4E/(kTL3_2+EIF4E))
vTL4	Cytoplasm	 => ATMinac	kTL4_1*m_ATM*(EIF4E/(kTL4_2+EIF4E))
vTL5	Cytoplasm	 => ATRinac	kTL5_1*m_ATR*(EIF4E/(kTL5_2+EIF4E))
vTL6	Nucleus	 => pRB	kTL6*m_RB1
vTL7	Nucleus	 => E2F	kTL7*m_E2F1
vTL8	Nucleus	 => E2F	kTL8*m_E2F2
vTL9	Nucleus	 => E2F	kTL9*m_E2F3
vTL10	Nucleus	 => Cd	(kTL10_1+kTL10_2*E2F*(kTL10_3/(kTL10_3+pRB))*(kTL10_4/(kTL10_4+pRBp)))*m_CCND1*(EIF4E/(kTL10_5+EIF4E))
vTL11	Nucleus	 => Cd	(kTL11_1+kTL11_2*E2F*(kTL11_3/(kTL11_3+pRB))*(kTL11_4/(kTL11_4+pRBp)))*m_CCND2*(EIF4E/(kTL11_5+EIF4E))
vTL12	Nucleus	 => Cd	(kTL12_1+kTL12_2*E2F*(kTL12_3/(kTL12_3+pRB))*(kTL12_4/(kTL12_4+pRBp)))*m_CCND3*(EIF4E/(kTL12_5+EIF4E))
vTL13	Nucleus	 => Ce	kTL13_1*E2F*(kTL13_2/(kTL13_2+pRB))*(kTL13_3/(kTL13_3+pRBp))*m_CCNE1
vTL14	Nucleus	 => Ce	kTL14_1*E2F*(kTL14_2/(kTL14_2+pRB))*(kTL14_3/(kTL14_3+pRBp))*m_CCNE2
vTL15	Nucleus	 => Skp2	kTL15*m_SKP2
vTL16	Nucleus	 => Pei	kTL16*m_CDC25A
vTL17	Nucleus	 => Pai	kTL17*m_CDC25B
vTL18	Nucleus	 => Pbi	kTL18*m_CDC25C
vTL19	Nucleus	 => Ca	kTL19_1*E2F*(kTL19_2/(kTL19_2+pRB))*(kTL19_3/(kTL19_3+pRBp))*m_CCNA2
vTL20	Nucleus	 => p27	(kTL20_1+(kTL20_2*E2F*(kTL20_3/(kTL20_3+pRB))*(kTL20_4/(kTL20_4+pRBp))))*m_CDKN1B
vTL21	Nucleus	 => Cdh1a	kTL21*m_CDH1
vTL22	Nucleus	 => Cb	kTL22*m_CCNB1
vTL23	Nucleus	 => Cdc20i	kTL23*m_CDC20
vTL24	Nucleus	 => Wee1	kTL24*m_WEE1
vTL25	Cytoplasm	 => Chk1	kTL25*m_CHEK1
