speciesId	compartment	type	initialConcentration	solver	annotation
Ribosome	Cytoplasm	Undefined	1.90E+03	Undefined	GO:0005840,GO:0005840
p53inac	Nucleus	Undefined	2.97E+02	Undefined	ENSG00000141510,TP53
p53ac	Nucleus	Undefined	6.25E+00	Undefined	ENSG00000141510,TP53
MDM2	Nucleus	Undefined	2.06E+02	Undefined	ENSG00000135679,MDM2
Wip1	Nucleus	Undefined	2.23E+00	Undefined	ENSG00000170836,PPM1D
ATMP	Nucleus	Undefined	0.00E+00	Undefined	ENSG00000149311,ATM
ATRac	Nucleus	Undefined	0.00E+00	Undefined	ENSG00000175054,ATR
MDM2product1	Nucleus	Undefined	6.25E+00	Undefined	
MDM2product2	Nucleus	Undefined	6.25E+00	Undefined	
MDM2product3	Nucleus	Undefined	6.25E+00	Undefined	
MDM2product4	Nucleus	Undefined	6.25E+00	Undefined	
MDM2product5	Nucleus	Undefined	6.25E+00	Undefined	
MDM2product6	Nucleus	Undefined	6.25E+00	Undefined	
MDM2product7	Nucleus	Undefined	6.25E+00	Undefined	
MDM2product8	Nucleus	Undefined	6.25E+00	Undefined	
MDM2product9	Nucleus	Undefined	6.25E+00	Undefined	
MDM2pro	Nucleus	Undefined	6.25E+00	Undefined	
Wip1product1	Nucleus	Undefined	6.25E+00	Undefined	
Wip1product2	Nucleus	Undefined	6.25E+00	Undefined	
Wip1product3	Nucleus	Undefined	6.25E+00	Undefined	
Wip1product4	Nucleus	Undefined	6.25E+00	Undefined	
Wip1product5	Nucleus	Undefined	6.25E+00	Undefined	
Wip1product6	Nucleus	Undefined	6.25E+00	Undefined	
Wip1product7	Nucleus	Undefined	6.25E+00	Undefined	
Wip1product8	Nucleus	Undefined	6.25E+00	Undefined	
Wip1product9	Nucleus	Undefined	6.25E+00	Undefined	
Wip1pro	Nucleus	Undefined	6.25E+00	Undefined	
BRCA2	Nucleus	Undefined	8.22E-01	Undefined	ENSG00000139618,BRCA2
MSH6	Nucleus	Undefined	4.55E+01	Undefined	ENSG00000116062,MSH6
MGMT	Nucleus	Undefined	1.20E+02	Undefined	ENSG00000170430,MGMT
damageDSB	Nucleus	Undefined	2.43E-04	Undefined	
damageSSB	Nucleus	Undefined	6.03E-06	Undefined	
ppAKT_MDM2	Nucleus	Undefined	0.00E+00	Undefined	ENSG00000142208,ENSG00000105221,ENSG00000135679,AKT1,AKT2,MDM2
pMDM2	Nucleus	Undefined	0.00E+00	Undefined	ENSG00000135679,MDM2
ARF	Nucleus	Undefined	0.00E+00	Undefined	ENSG00000147889,CDKN2A
MDM4	Nucleus	Undefined	2.72E-02	Undefined	ENSG00000198625,MDM4
p53ac_MDM4	Nucleus	Undefined	0.00E+00	Undefined	ENSG00000141510,ENSG00000198625,TP53,MDM4
ATMinac	Nucleus	Undefined	1.50E+00	Undefined	ENSG00000149311,ATM
ATRinac	Nucleus	Undefined	2.40E+00	Undefined	ENSG00000175054,ATR
pRB	Nucleus	Undefined	8.00E+03	Undefined	ENSG00000139687,RB1
pRBp	Nucleus	Undefined	5.36E-01	Undefined	ENSG00000139687,RB1
pRBpp	Nucleus	Undefined	6.97E-03	Undefined	ENSG00000139687,RB1
E2F	Nucleus	Undefined	1.12E+03	Undefined	ENSG00000101412,ENSG00000007968,ENSG00000112242,E2F1,E2F2,E2F3
