speciesId	annotation	type
cyt_abs__ribosome_	GO:0005840	Ribosome
nuc_prot_i__P53_	P04637	Protein
nuc_prot_a__P53_	P04637	Protein
nuc_prot__MDM2_1_	Q00987-1	Protein
nuc_prot__PPM1D_1_	O15297-1	Protein
nuc_prot_a__ATM_	Q13315	Protein
nuc_prot_a__ATR_1_	Q13535-1	Protein
nuc_abs__MDM2delay1_	Q00987-1	Protein
nuc_abs__MDM2delay2_	Q00987-1	Protein
nuc_abs__MDM2delay3_	Q00987-1	Protein
nuc_abs__MDM2delay4_	Q00987-1	Protein
nuc_abs__MDM2delay5_	Q00987-1	Protein
nuc_abs__MDM2delay6_	Q00987-1	Protein
nuc_abs__MDM2delay7_	Q00987-1	Protein
nuc_abs__MDM2delay8_	Q00987-1	Protein
nuc_abs__MDM2delay9_	Q00987-1	Protein
nuc_abs__MDM2delay10_	Q00987-1	Protein
nuc_abs__WIP1delay1_	O15297-1	Protein
nuc_abs__WIP1delay2_	O15297-1	Protein
nuc_abs__WIP1delay3_	O15297-1	Protein
nuc_abs__WIP1delay4_	O15297-1	Protein
nuc_abs__WIP1delay5_	O15297-1	Protein
nuc_abs__WIP1delay6_	O15297-1	Protein
nuc_abs__WIP1delay7_	O15297-1	Protein
nuc_abs__WIP1delay8_	O15297-1	Protein
nuc_abs__WIP1delay9_	O15297-1	Protein
nuc_abs__WIP1delay10_	O15297-1	Protein
nuc_prot__BRCA2_	P51587	Protein
nuc_prot__MSH6_1_	P52701-1	Protein
nuc_prot__MGMT_	P16455	Protein
nuc_abs__DNADoubleStrandBreak_	CHEMBL454708	Compound
nuc_abs__DNASingleStrandBreak_	GO:0000012	Compound
nuc_cong__p_p_AKT__MDM2_1_	P31749	Protein
nuc_cong__p_p_AKT__MDM2_1_	Q00987-1	Protein
nuc_cong__p_p_AKT__MDM2_1_	P31751	Protein
nuc_prot__p_MDM2_1_	Q00987-1	Protein
nuc_prot__ARF_1_	Q8N726-1	Protein
nuc_prot__MDM4_1_	O15151-1	Protein
nuc_prot_a__P53__MDM4_1_	P04637	Protein
nuc_prot_a__P53__MDM4_1_	O15151-1	Protein
nuc_prot_i__ATM_	Q13315	Protein
nuc_prot_i__ATR_1_	Q13535-1	Protein
nuc_prot__RB_	P06400	Protein
nuc_prot__pT373_RB_	P06400	Protein
nuc_prot__pT373_pS807_pS811_RB_	P06400	Protein
nuc_cong__E2F_	Q01094	Protein
nuc_cong__E2F_	Q14209	Protein
nuc_cong__E2F_	O00716	Protein
nuc_cong__CCND_	P24385	Protein
nuc_cong__CCND_	P30279	Protein
nuc_cong__CCND_	P30281	Protein
nuc_cong_i__CCND__CDK4_	P24385	Protein
nuc_cong_i__CCND__CDK4_	P30279	Protein
nuc_cong_i__CCND__CDK4_	P30281	Protein
nuc_cong_i__CCND__CDK4_	P11802	Protein
nuc_cong_i__CCND__CDK4_	Q00534	Protein
nuc_cong__CCND__CDK4_	P24385	Protein
nuc_cong__CCND__CDK4_	P30279	Protein
nuc_cong__CCND__CDK4_	P30281	Protein
nuc_cong__CCND__CDK4_	P11802	Protein
nuc_cong__CCND__CDK4_	Q00534	Protein
nuc_cong__CCND__CDK4__CDN1B_	P24385	Protein
nuc_cong__CCND__CDK4__CDN1B_	P30279	Protein
nuc_cong__CCND__CDK4__CDN1B_	P30281	Protein
nuc_cong__CCND__CDK4__CDN1B_	P11802	Protein
nuc_cong__CCND__CDK4__CDN1B_	Q00534	Protein
nuc_cong__CCND__CDK4__CDN1B_	P46527	Protein
nuc_cong__CCNE_	P24864	Protein
nuc_cong__CCNE_	O96020	Protein
nuc_cong_i__CCNE__CDK2_	P24864	Protein
nuc_cong_i__CCNE__CDK2_	O96020	Protein
nuc_cong_i__CCNE__CDK2_	P24941	Protein
nuc_cong__CCNE__CDK2_	P24864	Protein
nuc_cong__CCNE__CDK2_	O96020	Protein
nuc_cong__CCNE__CDK2_	P24941	Protein
nuc_prot__SKP2_1_	Q13309-1	Protein
nuc_cong__CCNE__CDK2__CDN1B_	P24864	Protein
nuc_cong__CCNE__CDK2__CDN1B_	O96020	Protein
nuc_cong__CCNE__CDK2__CDN1B_	P24941 P46527	Protein
nuc_prot__MPIP1_1_	P30304-1	Protein
nuc_prot_i__MPIP2_1_	P30305-1	Protein
nuc_prot_i__MPIP1_1_	P30304-1	Protein
nuc_prot_i__MPIP3_1_	P30307-1	Protein
nuc_prot__CCNA2_	P20248	Protein
nuc_prot_i__CCNA__CDK2_	P20248	Protein
nuc_prot_i__CCNA__CDK2_	P24941	Protein
nuc_prot__CCNA__CDK2_	P20248	Protein
nuc_prot__CCNA__CDK2_	P24941	Protein
nuc_prot__CCNA__CDK2__CDN1B_	P20248	Protein
nuc_prot__CCNA__CDK2__CDN1B_	P24941	Protein
nuc_prot__CCNA__CDK2__CDN1B_	P46527	Protein
nuc_prot__CDN1B_	P46527	Protein
nuc_prot_i__CADH1_1_	P12830-1	Protein
nuc_prot_a__CADH1_1_	P12830-1	Protein
nuc_cong__p_E2F_	Q01094	Protein
nuc_cong__p_E2F_	Q14209	Protein
nuc_cong__p_E2F_	O00716	Protein
nuc_prot__pT187_CDN1B_	P46527	Protein
nuc_prot__MPIP2_1_	P30305-1	Protein
nuc_cong__CCNB_	P14635	Protein
nuc_cong_i__CCNB__CDK1_	P14635	Protein
nuc_cong_i__CCNB__CDK1_	Q8WWL7	Protein
nuc_cong_i__CCNB__CDK1_	P06493	Protein
nuc_cong__CCNB__CDK1_	P14635	Protein
nuc_cong__CCNB__CDK1_	P06493	Protein
nuc_prot_i__CDC20_	Q12834	Protein
nuc_prot_a__CDC20_	Q12834	Protein
nuc_prot__MPIP3_1_	P30307-1	Protein
nuc_prot__WEE1_1_	P30291-1	Protein
nuc_prot__pS123_WEE1_1_	P30291-1	Protein
nuc_cong__CCNB__CDK1__CDN1B_	P14635	Protein
nuc_cong__CCNB__CDK1__CDN1B_	P06493	Protein
nuc_cong__CCNB__CDK1__CDN1B_	P46527	Protein
nuc_prot__CHK1_1_	O14757-1	Protein
nuc_cong__RB__E2F_	P06400	Protein
nuc_cong__RB__E2F_	Q01094	Protein
nuc_cong__RB__E2F_	Q14209	Protein
nuc_cong__RB__E2F_	O00716	Protein
nuc_cong__pT373_RB__E2F_	P06400	Protein
nuc_cong__pT373_RB__E2F_	Q01094	Protein
nuc_cong__pT373_RB__E2F_	Q14209	Protein
nuc_cong__pT373_RB__E2F_	O00716	Protein
nuc_prot__CDN1A_	P38936	Protein
nuc_cong__CCND__CDK4__CDN1A_	P24385	Protein
nuc_cong__CCND__CDK4__CDN1A_	P30279	Protein
nuc_cong__CCND__CDK4__CDN1A_	P30281	Protein
nuc_cong__CCND__CDK4__CDN1A_	P11802	Protein
nuc_cong__CCND__CDK4__CDN1A_	Q00534	Protein
nuc_cong__CCND__CDK4__CDN1A_	P38936	Protein
nuc_cong__CCNE__CDK2__CDN1A_	P24864	Protein
nuc_cong__CCNE__CDK2__CDN1A_	O96020	Protein
nuc_cong__CCNE__CDK2__CDN1A_	P46527	Protein
nuc_cong__CCNE__CDK2__CDN1A_	P38936	Protein
nuc_cong__CCNA__CDK2__CDN1A_	P20248	Protein
nuc_cong__CCNA__CDK2__CDN1A_	P24941	Protein
nuc_cong__CCNA__CDK2__CDN1A_	P38936	Protein
nuc_cong__CCNB__CDK1__CDN1A_	P14635	Protein
nuc_cong__CCNB__CDK1__CDN1A_	P06493	Protein
nuc_cong__CCNB__CDK1__CDN1A_	P38936	Protein
exc_prot__TNF10_1_	P50591-1	Protein
cyt_cong__TNFRSF10_	O00220	Protein
cyt_cong__TNFRSF10_	O14763	Protein
cyt_cong__TNF10_1__TNFRSF10_	P50591-1	Protein
cyt_cong__TNF10_1__TNFRSF10_	O00220	Protein
cyt_cong__TNF10_1__TNFRSF10_	O14763	Protein
cyt_cong_a__TNF10_1__TNFRSF10_	O00220	Protein
cyt_cong_a__TNF10_1__TNFRSF10_	O14763	Protein
cyt_prot__CFLAR_1_	O15519-1	Protein
cyt_cong_a__TNF10_1__TNFRSF10__CFLAR_1_	O00220	Protein
cyt_cong_a__TNF10_1__TNFRSF10__CFLAR_1_	O14763	Protein
cyt_cong_a__TNF10_1__TNFRSF10__CFLAR_1_	O15519-1	Protein
cyt_cong_i__CASP8_	Q14790	Protein
cyt_cong_i__CASP8_	Q92851	Protein
cyt_cong_a__TNF10_1__TNFRSF10__CASP8_	O00220	Protein
cyt_cong_a__TNF10_1__TNFRSF10__CASP8_	O14763	Protein
cyt_cong_a__TNF10_1__TNFRSF10__CASP8_	Q14790	Protein
cyt_cong_a__TNF10_1__TNFRSF10__CASP8_	Q92851	Protein
cyt_cong_a__CASP8_	Q14790	Protein
cyt_cong_a__CASP8_	Q92851	Protein
cyt_prot__BFAR_1_	Q9NZS9-1	Protein
cyt_cong__CASP8__BFAR_1_	Q14790	Protein
cyt_cong__CASP8__BFAR_1_	Q92851	Protein
cyt_cong__CASP8__BFAR_1_	Q9NZS9-1	Protein
cyt_cong_i__CASP3_	P42574	Protein
cyt_cong_i__CASP3_	P55210	Protein
cyt_cong__CASP8__CASP3_	Q14790	Protein
cyt_cong__CASP8__CASP3_	Q92851	Protein
cyt_cong__CASP8__CASP3_	P42574	Protein
cyt_cong__CASP8__CASP3_	P55210	Protein
cyt_cong_a__CASP3_	P42574	Protein
cyt_cong_a__CASP3_	P55210	Protein
cyt_prot_i__CASP6_	P55212	Protein
cyt_cong__CASP3__CASP6_	P42574	Protein
cyt_cong__CASP3__CASP6_	P55210	Protein
cyt_cong__CASP3__CASP6_	P55212	Protein
cyt_prot_a__CASP6_	P55212	Protein
cyt_cong__CASP6__CASP8_	P55212	Protein
cyt_cong__CASP6__CASP8_	Q14790	Protein
cyt_cong__CASP6__CASP8_	Q92851	Protein
cyt_prot__XIAP_1_	P98170	Protein
cyt_prot__CASP3__XIAP_	P42574	Protein
cyt_prot__CASP3__XIAP_	P55210	Protein
cyt_prot__CASP3__XIAP_	P98170	Protein
cyt_prot__PARP1_1_	P09874	Protein
cyt_cong__CASP3__PARP1_	P42574	Protein
cyt_cong__CASP3__PARP1_	P55210	Protein
cyt_cong__CASP3__PARP1_	P09874	Protein
cyt_prot__cl_PARP1_	P09874	Protein
cyt_prot__BID_1_	P55957-1	Protein
cyt_cong__CASP8__BID_1_	Q14790	Protein
cyt_cong__CASP8__BID_1_	Q92851	Protein
cyt_cong__CASP8__BID_1_	P55957-1	Protein
cyt_prot__cl_BID_1_	P55957-1	Protein
cyt_cong__BCL2_	P10415	Protein
cyt_cong__BCL2_	Q07817	Protein
cyt_cong__BCL2_	Q07820	Protein
cyt_cong__cl_BID_1__BCL2_	P55957-1	Protein
cyt_cong__cl_BID_1__BCL2_	P10415	Protein
cyt_cong__cl_BID_1__BCL2_	Q07817	Protein
cyt_cong__cl_BID_1__BCL2_	Q07820	Protein
cyt_prot_i__BAX_1_	Q07812-1	Protein
cyt_prot__cl_BID_1__BAX_1_	P55957-1	Protein
cyt_prot__cl_BID_1__BAX_1_	Q07812-1	Protein
cyt_prot_a__BAX_1_	Q07812-1	Protein
mit_prot_a__BAX_1_	Q07812-1	Protein
mit_cong__BCL2_	P10415	Protein
mit_cong__BCL2_	Q07817	Protein
mit_cong__BCL2_	Q07820	Protein
mit_cong__BAX_1__BCL2_	Q07812-1	Protein
mit_cong__BAX_1__BCL2_	P10415	Protein
mit_cong__BAX_1__BCL2_	Q07817	Protein
mit_cong__BAX_1__BCL2_	Q07820	Protein
mit_prot_a__BAX_1__BAX_1_	Q07812-1	Protein
mit_cong__BAX_1__BAX_1__BCL2_	Q07812-1	Protein
mit_cong__BAX_1__BAX_1__BCL2_	P10415	Protein
mit_cong__BAX_1__BAX_1__BCL2_	Q07817	Protein
mit_cong__BAX_1__BAX_1__BCL2_	Q07820	Protein
mit_prot_a__BAX_1__BAX_1__BAX_1__BAX_1_	Q07812-1	Protein
mit_cong__BAX_1__BAX_1__BAX_1__BAX_1__BCL2_	Q07812-1	Protein
mit_cong__BAX_1__BAX_1__BAX_1__BAX_1__BCL2_	P10415	Protein
mit_cong__BAX_1__BAX_1__BAX_1__BAX_1__BCL2_	Q07817	Protein
mit_cong__BAX_1__BAX_1__BAX_1__BAX_1__BCL2_	Q07820	Protein
mit_abs_i__pore_	GO:0005739	Organelle
mit_abs__BAX_1__BAX_1__BAX_1__BAX_1__pore_	GO:0005739	Organelle
mit_abs__BAX_1__BAX_1__BAX_1__BAX_1__pore_	Q07812-1	Protein
mit_abs_a__pore_	GO:0005739	Organelle
mit_prot__CY1_	GO:0005739	Organelle
mit_prot__CY1_	P08574	Protein
mit_abs__pore__CY1_	GO:0005739	Organelle
mit_abs__pore__CY1_	P08574	Protein
mit_prot_i__CY1_	P08574	Protein
mit_prot__DBLOH_1_	Q9NR28-1	Protein
mit_abs__pore__DBLOH_1_	GO:0005739	Organelle
mit_abs__pore__DBLOH_1_	Q9NR28-1	Protein
mit_prot_i__DBLOH_1_	Q9NR28-1	Protein
cyt_prot__CY1_	P08574	Protein
cyt_prot__APAF_1_	O14727-1	Protein
cyt_prot__CY1__APAF_1_	P08574	Protein
cyt_prot__CY1__APAF_1_	O14727-1	Protein
cyt_prot_a__APAF_1_	O14727-1	Protein
cyt_prot__PCSK9_1_	Q8NBP7-1	Protein
cyt_prot_a__APAF_1__PCSK9_1_	O14727-1	Protein
cyt_prot_a__APAF_1__PCSK9_1_	Q8NBP7-1	Protein
cyt_prot_a__APAF_1__PCSK9_1__CASP3_	O14727-1	Protein
cyt_prot_a__APAF_1__PCSK9_1__CASP3_	Q8NBP7-1	Protein
cyt_prot_a__APAF_1__PCSK9_1__CASP3_	P42574	Protein
cyt_prot_a__APAF_1__PCSK9_1__CASP3_	P55210	Protein
cyt_prot__DBLOH_1_	Q9NR28-1	Protein
cyt_prot_a__APAF_1__PCSK9_1__XIAP_	O14727-1	Protein
cyt_prot_a__APAF_1__PCSK9_1__XIAP_	Q8NBP7-1	Protein
cyt_prot_a__APAF_1__PCSK9_1__XIAP_	P98170	Protein
cyt_prot__DBLOH_1__XIAP_	Q9NR28-1	Protein
cyt_prot__DBLOH_1__XIAP_	P98170	Protein
cyt_cong__u_CASP3_	P42574	Protein
cyt_cong__u_CASP3_	P55210	Protein
cyt_prot__BAD_1_	Q92934	Protein
cyt_prot__BBC3_1_	Q9BXH1-1	Protein
cyt_prot__APR_1_	Q13794-1	Protein
cyt_cong__BCL2__BAD_	P10415	Protein
cyt_cong__BCL2__BAD_	Q07817	Protein
cyt_cong__BCL2__BAD_	Q07820	Protein
cyt_cong__BCL2__BAD_	Q92934	Protein
cyt_cong__BCL2__BBC3_1_	P10415	Protein
cyt_cong__BCL2__BBC3_1_	Q07817	Protein
cyt_cong__BCL2__BBC3_1_	Q07820	Protein
cyt_cong__BCL2__BBC3_1_	Q9BXH1-1	Protein
cyt_cong__BCL2__APR_1_	P10415	Protein
cyt_cong__BCL2__APR_1_	Q07817	Protein
cyt_cong__BCL2__APR_1_	Q07820	Protein
cyt_cong__BCL2__APR_1_	Q13794-1	Protein
cyt_prot__B2L11_1_	O43521-1	Protein
cyt_prot__B2L11_1__BAX_1_	O43521-1	Protein
cyt_prot__B2L11_1__BAX_1_	Q07812-1	Protein
cyt_cong__BCL2__B2L11_1_	P10415	Protein
cyt_cong__BCL2__B2L11_1_	Q07817	Protein
cyt_cong__BCL2__B2L11_1_	Q07820	Protein
cyt_cong__BCL2__B2L11_1_	O43521-1	Protein
cyt_cong__p_p_MAPK__B2L11_1_	P28482	Protein
cyt_cong__p_p_MAPK__B2L11_1_	P27361	Protein
cyt_cong__p_p_MAPK__B2L11_1_	P27361	Protein
cyt_cong__p_p_MAPK__B2L11_1_	O43521-1	Protein
cyt_prot__pS69_B2L11_1_	O43521-1	Protein
cyt_cong__p_p_AKT__BAD_	P31749	Protein
cyt_cong__p_p_AKT__BAD_	P31751	Protein
cyt_cong__p_p_AKT__BAD_	Q9Y243	Protein
cyt_cong__p_p_AKT__BAD_	Q92934	Protein
cyt_prot__p_BAD_	Q92934	Protein
cyt_cong__p_p_MAPK__BAD_	P28482	Protein
cyt_cong__p_p_MAPK__BAD_	P27361	Protein
cyt_cong__p_p_MAPK__BAD_	P27361	Protein
cyt_cong__p_p_MAPK__BAD_	Q92934	Protein
exc_prot__EGF_1_	P01133-1	Protein
exc_prot__NRG1_1_	Q02297-1	Protein
exc_prot__HGF_1_	P14210-1	Protein
exc_prot__PDGFB_1_	P01127-1	Protein
exc_cong__FGF_	P05230	Protein
exc_cong__FGF_	P09038	Protein
exc_cong__IGF_	P05019	Protein
exc_cong__IGF_	P01344	Protein
exc_prot__INS_1_	P01308-1	Protein
cyt_prot__EGFR_1_	P00533-1	Protein
cyt_prot__pT693_EGFR_1_	P00533-1	Protein
cyt_prot__ERBB2_1_	P04626-1	Protein
cyt_prot__pT701_ERBB2_1_	P04626-1	Protein
cyt_prot__ERBB3_1_	P21860-1	Protein
cyt_prot__ERBB4_1_	Q15303-1	Protein
cyt_prot__pT699_ERBB4_1_	Q15303-1	Protein
cyt_prot__MET_1_	P08581-1	Protein
cyt_cong__PGFRB_	P09619	Protein
cyt_cong__FGFR_	P11362	Protein
cyt_cong__FGFR_	P21802	Protein
cyt_prot__IGF1R_1_	P08069	Protein
cyt_prot__INSR_1_	P06213-1	Protein
cyt_prot__EGFR_1__EGFR_1_	P00533-1	Protein
cyt_prot__EGFR_1__ERBB2_1_	P00533-1	Protein
cyt_prot__EGFR_1__ERBB2_1_	P04626-1	Protein
cyt_prot__EGFR_1__ERBB3_1_	P00533-1	Protein
