reactionId	parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
vbR	kbR_1	lin	0.0042	0.0042	0.0042	0
vbR	kbR_2	lin	0.04	0.04	0.04	0
vbR	kbR_3	lin	5.0	5.0	5.0	0
vbR	kbR_4	lin	4.86	4.86	4.86	0
vdR	kdR_1	lin	2.22e-06	2.22e-06	2.22e-06	0
vTL1	kTL1_1	lin	141.0	141.0	141.0	0
vTL1	kTL1_2	lin	100.0	100.0	100.0	0
vTL2	kTL2_1	lin	5.0	5.0	5.0	0
vTL2	kTL2_2	lin	0.0225	0.0225	0.0225	0
vTL2	kTL2_3	lin	100.0	100.0	100.0	0
vTL3	kTL3_1	lin	0.156	0.156	0.156	0
vTL3	kTL3_2	lin	100.0	100.0	100.0	0
vTL4	kTL4_1	lin	0.00454	0.00454	0.00454	0
vTL4	kTL4_2	lin	100.0	100.0	100.0	0
vTL5	kTL5_1	lin	0.0218	0.0218	0.0218	0
vTL5	kTL5_2	lin	100.0	100.0	100.0	0
vTL6	kTL6_1	lin	70.1	70.1	70.1	0
vTL7	kTL7_1	lin	4.39	4.39	4.39	0
vTL8	kTL8_1	lin	4.39	4.39	4.39	0
vTL9	kTL9_1	lin	4.39	4.39	4.39	0
vTL10	kTL10_1	lin	26.9	26.9	26.9	0
vTL10	kTL10_2	lin	0.0118	0.0118	0.0118	0
vTL10	kTL10_3	lin	10.0	10.0	10.0	0
vTL10	kTL10_4	lin	200.0	200.0	200.0	0
vTL10	kTL10_5	lin	100.0	100.0	100.0	0
vTL11	kTL11_1	lin	26.9	26.9	26.9	0
vTL11	kTL11_2	lin	0.0118	0.0118	0.0118	0
vTL11	kTL11_3	lin	10.0	10.0	10.0	0
vTL11	kTL11_4	lin	200.0	200.0	200.0	0
vTL11	kTL11_5	lin	100.0	100.0	100.0	0
vTL12	kTL12_1	lin	26.9	26.9	26.9	0
vTL12	kTL12_2	lin	0.0118	0.0118	0.0118	0
vTL12	kTL12_3	lin	10.0	10.0	10.0	0
vTL12	kTL12_4	lin	200.0	200.0	200.0	0
vTL12	kTL12_5	lin	100.0	100.0	100.0	0
vTL13	kTL13_1	lin	0.127	0.127	0.127	0
vTL13	kTL13_2	lin	10.0	10.0	10.0	0
vTL13	kTL13_3	lin	200.0	200.0	200.0	0
vTL14	kTL14_1	lin	0.127	0.127	0.127	0
vTL14	kTL14_2	lin	10.0	10.0	10.0	0
vTL14	kTL14_3	lin	200.0	200.0	200.0	0
vTL15	kTL15_1	lin	13.2	13.2	13.2	0
vTL16	kTL16_1	lin	11.4	11.4	11.4	0
vTL17	kTL17_1	lin	9.22	9.22	9.22	0
vTL18	kTL18_1	lin	10.5	10.5	10.5	0
vTL19	kTL19_1	lin	0.0329	0.0329	0.0329	0
vTL19	kTL19_2	lin	10.0	10.0	10.0	0
vTL19	kTL19_3	lin	200.0	200.0	200.0	0
vTL20	kTL20_1	lin	70.3	70.3	70.3	0
vTL20	kTL20_2	lin	0.0878	0.0878	0.0878	0
vTL20	kTL20_3	lin	10.0	10.0	10.0	0
vTL20	kTL20_4	lin	200.0	200.0	200.0	0
vTL21	kTL21_1	lin	9.66	9.66	9.66	0
vTL22	kTL22_1	lin	4.39	4.39	4.39	0
vTL23	kTL23_1	lin	8.78	8.78	8.78	0
vTL24	kTL24_1	lin	5.27	5.27	5.27	0
vTL25	kTL25_1	lin	0.00874	0.00874	0.00874	0
vTL26	kTL26_1	lin	0.531	0.531	0.531	0
vTL27	kTL27_1	lin	0.264	0.264	0.264	0
vTL28	kTL28_1	lin	0.179	0.179	0.179	0
vTL29	kTL29_1	lin	0.00823	0.00823	0.00823	0
vTL30	kTL30_1	lin	0.296	0.296	0.296	0
vTL31	kTL31_1	lin	0.0	0.0	0.0	0
vTL31	kTL31_2	lin	100.0	100.0	100.0	0
vTL32	kTL32_1	lin	0.0067	0.0067	0.0067	0
vTL32	kTL32_2	lin	100.0	100.0	100.0	0
vTL33	kTL33_1	lin	0.00696	0.00696	0.00696	0
vTL33	kTL33_2	lin	100.0	100.0	100.0	0
vTL34	kTL34_1	lin	0.0456	0.0456	0.0456	0
vTL34	kTL34_2	lin	100.0	100.0	100.0	0
