reactionId	parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
vR1	kR1_1	lin	0.001	0.001	0.001	0
vR2	kR2_1	lin	0.001	0.001	0.001	0
vR3	kR3_1	lin	0.01	0.01	0.01	0
vR4	kR4_1	lin	0.001	0.001	0.001	0
vR5	kR5_1	lin	0.01	0.01	0.01	0
vR6	kR6_1	lin	0.01	0.01	0.01	0
vR7	kR7_1	lin	0.001	0.001	0.001	0
vR8	kR8_1	lin	0.02	0.02	0.02	0
vR9	kR9_1	lin	0.01	0.01	0.01	0
vR10	kR10_1	lin	0.01	0.01	0.01	0
vR11	kR11_1	lin	0.01	0.01	0.01	0
vR12	kR12_1	lin	0.001	0.001	0.001	0
vR13	kR13_1	lin	0.001	0.001	0.001	0
vR14	kR14_1	lin	0.01	0.01	0.01	0
vR15	kR15_1	lin	0.01	0.01	0.01	0
vR16	kR16_1	lin	0.01	0.01	0.01	0
vR17	kR17_1	lin	0.01	0.01	0.01	0
vR18	kR18_1	lin	0.01	0.01	0.01	0
vR19	kR19_1	lin	0.01	0.01	0.01	0
vR20	kR20_1	lin	0.01	0.01	0.01	0
vR21	kR21_1	lin	0.001	0.001	0.001	0
vR22	kR22_1	lin	0.01	0.01	0.01	0
vR23	kR23_1	lin	0.01	0.01	0.01	0
vR24	kR24_1	lin	0.01	0.01	0.01	0
vR25	kR25_1	lin	0.001	0.001	0.001	0
vR26	kR26_1	lin	0.001	0.001	0.001	0
vR27	kR27_1	lin	0.01	0.01	0.01	0
vR28	kR28_1	lin	0.01	0.01	0.01	0
vR29	kR29_1	lin	0.01	0.01	0.01	0
vR30	kR30_1	lin	0.01	0.01	0.01	0
vR31	kR31_1	lin	0.001	0.001	0.001	0
vR32	kR32_1	lin	0.01	0.01	0.01	0
vR33	kR33_1	lin	0.01	0.01	0.01	0
vR34	kR34_1	lin	0.01	0.01	0.01	0
vR35	kR35_1	lin	0.001	0.001	0.001	0
vR36	kR36_1	lin	0.02	0.02	0.02	0
vR37	kR37_1	lin	0.01	0.01	0.01	0
vR38	kR38_1	lin	0.01	0.01	0.01	0
vR39	kR39_1	lin	0.01	0.01	0.01	0
vR40	kR40_1	lin	0.01	0.01	0.01	0
vR41	kR41_1	lin	0.01	0.01	0.01	0
vR42	kR42_1	lin	0.01	0.01	0.01	0
vR43	kR43_1	lin	0.001	0.001	0.001	0
vR44	kR44_1	lin	0.01	0.01	0.01	0
vR45	kR45_1	lin	0.01	0.01	0.01	0
vR46	kR46_1	lin	0.01	0.01	0.01	0
vR47	kR47_1	lin	0.001	0.001	0.001	0
vR48	kR48_1	lin	0.001	0.001	0.001	0
vR49	kR49_1	lin	0.01	0.01	0.01	0
vR50	kR50_1	lin	0.01	0.01	0.01	0
vR51	kR51_1	lin	0.01	0.01	0.01	0
vR52	kR52_1	lin	0.01	0.01	0.01	0
vR53	kR53_1	lin	0.001	0.001	0.001	0
vR54	kR54_1	lin	0.01	0.01	0.01	0
vR55	kR55_1	lin	0.01	0.01	0.01	0
vR56	kR56_1	lin	0.01	0.01	0.01	0
vR57	kR57_1	lin	0.001	0.001	0.001	0
vR58	kR58_1	lin	0.01	0.01	0.01	0
vR59	kR59_1	lin	0.01	0.01	0.01	0
vR60	kR60_1	lin	0.01	0.01	0.01	0
vR61	kR61_1	lin	0.01	0.01	0.01	0
vR62	kR62_1	lin	0.01	0.01	0.01	0
vR63	kR63_1	lin	0.001	0.001	0.001	0
vR64	kR64_1	lin	0.02	0.02	0.02	0
vR65	kR65_1	lin	0.01	0.01	0.01	0
vR66	kR66_1	lin	0.01	0.01	0.01	0
vR67	kR67_1	lin	0.001	0.001	0.001	0
vR68	kR68_1	lin	0.1	0.1	0.1	0
vR69	kR69_1	lin	0.001	0.001	0.001	0
vR70	kR70_1	lin	0.1	0.1	0.1	0
vR71	kR71_1	lin	0.001	0.001	0.001	0
vR72	kR72_1	lin	0.1	0.1	0.1	0
vR73	kR73_1	lin	0.05	0.05	0.05	0
vR74	kR74_1	lin	0.0016	0.0016	0.0016	0
vR75	kR75_1	lin	0.01	0.01	0.01	0
vR76	kR76_1	lin	0.01	0.01	0.01	0
vR77	kR77_1	lin	0.05	0.05	0.05	0
vR78	kR78_1	lin	0.0032	0.0032	0.0032	0
vR79	kR79_1	lin	0.01	0.01	0.01	0
vR80	kR80_1	lin	0.01	0.01	0.01	0
vR81	kR81_1	lin	0.05	0.05	0.05	0
vR82	kR82_1	lin	0.05	0.05	0.05	0
vR83	kR83_1	lin	0.01	0.01	0.01	0
vR84	kR84_1	lin	0.0001	0.0001	0.0001	0
vR85	kR85_1	lin	2.0	2.0	2.0	0
vR86	kR86_1	lin	0.001	0.001	0.001	0
vR87	kR87_1	lin	0.001	0.001	0.001	0
vR88	kR88_1	lin	2e-05	2e-05	2e-05	0
vR89	kR89_1	lin	0.01	0.01	0.01	0
vR90	kR90_1	lin	0.001	0.001	0.001	0
vR91	kR91_1	lin	0.004	0.004	0.004	0
vR92	kR92_1	lin	0.001	0.001	0.001	0
vR93	kR93_1	lin	0.001	0.001	0.001	0
vR94	kR94_1	lin	0.01	0.01	0.01	0
vR95	kR95_1	lin	0.01	0.01	0.01	0
vR96	kR96_1	lin	0.0	0.0	0.0	0
vR97	kR97_1	lin	0.01	0.01	0.01	0
vR98	kR98_1	lin	0.0	0.0	0.0	0
vR99	kR99_1	lin	0.1	0.1	0.1	0
vR100	kR100_1	lin	1.0	1.0	1.0	0
vR101	kR101_1	lin	0.1	0.1	0.1	0
vR102	kR102_1	lin	1.0	1.0	1.0	0
vR103	kR103_1	lin	0.1	0.1	0.1	0
vR104	kR104_1	lin	1.0	1.0	1.0	0
vR105	kR105_1	lin	0.001	0.001	0.001	0
vR106	kR106_1	lin	1.0	1.0	1.0	0
vR107	kR107_1	lin	0.001	0.001	0.001	0
vR108	kR108_1	lin	1.0	1.0	1.0	0
vR109	kR109_1	lin	0.001	0.001	0.001	0
vR110	kR110_1	lin	1.0	1.0	1.0	0
vR111	kR111_1	lin	0.001	0.001	0.001	0
vR112	kR112_1	lin	1.0	1.0	1.0	0
vR113	kR113_1	lin	0.001	0.001	0.001	0
vR114	kR114_1	lin	1.0	1.0	1.0	0
vR115	kR115_1	lin	0.001	0.001	0.001	0
vR116	kR116_1	lin	1.0	1.0	1.0	0
vR117	kR117_1	lin	0.001	0.001	0.001	0
vR118	kR118_1	lin	1.0	1.0	1.0	0
vR119	kR119_1	lin	0.001	0.001	0.001	0
vR120	kR120_1	lin	1.0	1.0	1.0	0
vR121	kR121_1	lin	0.001	0.001	0.001	0
vR122	kR122_1	lin	1.0	1.0	1.0	0
vR123	kR123_1	lin	0.002	0.002	0.002	0
vR124	kR124_1	lin	0.001	0.001	0.001	0
vR125	kR125_1	lin	0.001	0.001	0.001	0
vR126	kR126_1	lin	0.001	0.001	0.001	0
vR127	kR127_1	lin	0.001	0.001	0.001	0
vR128	kR128_1	lin	0.001	0.001	0.001	0
vR129	kR129_1	lin	0.001	0.001	0.001	0
vR130	kR130_1	lin	0.001	0.001	0.001	0
vR131	kR131_1	lin	0.001	0.001	0.001	0
vR132	kR132_1	lin	0.001	0.001	0.001	0
vR133	kR133_1	lin	0.001	0.001	0.001	0
vR134	kR134_1	lin	0.001	0.001	0.001	0
vR135	kR135_1	lin	0.001	0.001	0.001	0
vR136	kR136_1	lin	0.001	0.001	0.001	0
vR137	kR137_1	lin	0.001	0.001	0.001	0
vR138	kR138_1	lin	0.001	0.001	0.001	0
vR139	kR139_1	lin	0.002	0.002	0.002	0
vR140	kR140_1	lin	0.001	0.001	0.001	0
vR141	kR141_1	lin	0.002	0.002	0.002	0
vR142	kR142_1	lin	0.001	0.001	0.001	0
vR143	kR143_1	lin	0.001	0.001	0.001	0
vR144	kR144_1	lin	1.0	1.0	1.0	0
vR145	kR145_1	lin	0.1	0.1	0.1	0
vR146	kR146_1	lin	0.0016	0.0016	0.0016	0
vR147	kR147_1	lin	0.001	0.001	0.001	0
vR148	kR148_1	lin	1.0	1.0	1.0	0
vR149	kR149_1	lin	0.002	0.002	0.002	0
vR150	kR150_1	lin	2e-05	2e-05	2e-05	0
vR151	kR151_1	lin	0.000347	0.000347	0.000347	0
vR152	kR152_1	lin	3.12e-05	3.12e-05	3.12e-05	0
vR153	kR153_1	lin	0.000347	0.000347	0.000347	0
vR154	kR154_1	lin	0.0031	0.0031	0.0031	0
vR155	kR155_1	lin	9.8e-05	9.8e-05	9.8e-05	0
vR156	kR156_1	lin	0.0031	0.0031	0.0031	0
vR157	kR157_1	lin	5.58e-06	5.58e-06	5.58e-06	0
vR158	kR158_1	lin	0.01	0.01	0.01	0
