reactionId	compartment	equation	formula
vR1	Cytoplasm	exc_prot__EGF_1_ + cyt_prot__EGFR_1_ => cyt_prot__EGF_1__EGFR_1_	kR1_1*exc_prot__EGF_1_*cyt_prot__EGFR_1_
vR2	Cytoplasm	cyt_prot__EGF_1__EGFR_1_ => exc_prot__EGF_1_ + cyt_prot__EGFR_1_	kR2_1*cyt_prot__EGF_1__EGFR_1_
vR3	Cytoplasm	cyt_prot__ERBB2_1_ + cyt_prot__EGF_1__EGFR_1_ => cyt_prot__EGF_1__EGFR_1__ERBB2_1_	kR3_1*cyt_prot__ERBB2_1_*cyt_prot__EGF_1__EGFR_1_
vR4	Cytoplasm	cyt_prot__EGF_1__EGFR_1__ERBB2_1_ => cyt_prot__ERBB2_1_ + cyt_prot__EGF_1__EGFR_1_	kR4_1*cyt_prot__EGF_1__EGFR_1__ERBB2_1_
vR5	Cytoplasm	cyt_prot__EGFR_1_ + cyt_prot__EGF_1__EGFR_1_ => cyt_prot__EGF_1__EGFR_1__EGFR_1_	kR5_1*cyt_prot__EGFR_1_*cyt_prot__EGF_1__EGFR_1_
vR6	Cytoplasm	cyt_prot__EGF_1__EGFR_1__EGFR_1_ => cyt_prot__EGFR_1_ + cyt_prot__EGF_1__EGFR_1_	kR6_1*cyt_prot__EGF_1__EGFR_1__EGFR_1_
vR7	Cytoplasm	exc_prot__EGF_1_ + cyt_prot__EGF_1__EGFR_1__EGFR_1_ => cyt_prot__EGF_1__EGFR_1__EGF_1__EGFR_1_	kR7_1*exc_prot__EGF_1_*cyt_prot__EGF_1__EGFR_1__EGFR_1_
vR8	Cytoplasm	cyt_prot__EGF_1__EGFR_1__EGF_1__EGFR_1_ => exc_prot__EGF_1_ + cyt_prot__EGF_1__EGFR_1__EGFR_1_	kR8_1*cyt_prot__EGF_1__EGFR_1__EGF_1__EGFR_1_
vR9	Cytoplasm	cyt_prot__EGF_1__EGFR_1__EGF_1__EGFR_1_ => cyt_prot__EGF_1__EGFR_1_ + cyt_prot__EGF_1__EGFR_1_	kR9_1*cyt_prot__EGF_1__EGFR_1__EGF_1__EGFR_1_
vR10	Cytoplasm	cyt_prot__EGF_1__EGFR_1_ + cyt_prot__EGF_1__EGFR_1_ => cyt_prot__EGF_1__EGFR_1__EGF_1__EGFR_1_	kR10_1*cyt_prot__EGF_1__EGFR_1_*cyt_prot__EGF_1__EGFR_1_
vR11	Cytoplasm	cyt_prot__ERBB3_1_ + cyt_prot__EGF_1__EGFR_1_ => cyt_prot__EGF_1__EGFR_1__ERBB3_1_	kR11_1*cyt_prot__ERBB3_1_*cyt_prot__EGF_1__EGFR_1_
vR12	Cytoplasm	cyt_prot__EGF_1__EGFR_1__ERBB3_1_ => cyt_prot__ERBB3_1_ + cyt_prot__EGF_1__EGFR_1_	kR12_1*cyt_prot__EGF_1__EGFR_1__ERBB3_1_
vR13	Cytoplasm	exc_prot__NRG1_1_ + cyt_prot__EGF_1__EGFR_1__ERBB3_1_ => cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB3_1_	kR13_1*exc_prot__NRG1_1_*cyt_prot__EGF_1__EGFR_1__ERBB3_1_
vR14	Cytoplasm	cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB3_1_ => exc_prot__NRG1_1_ + cyt_prot__EGF_1__EGFR_1__ERBB3_1_	kR14_1*cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB3_1_
vR15	Cytoplasm	cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB3_1_ => cyt_prot__EGF_1__EGFR_1_ + cyt_prot__NRG1_1__ERBB3_1_	kR15_1*cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB3_1_
vR16	Cytoplasm	cyt_prot__EGF_1__EGFR_1_ + cyt_prot__NRG1_1__ERBB3_1_ => cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB3_1_	kR16_1*cyt_prot__EGF_1__EGFR_1_*cyt_prot__NRG1_1__ERBB3_1_
vR19	Cytoplasm	cyt_prot__ERBB4_1_ + cyt_prot__EGF_1__EGFR_1_ => cyt_prot__EGF_1__EGFR_1__ERBB4_1_	kR19_1*cyt_prot__ERBB4_1_*cyt_prot__EGF_1__EGFR_1_
vR20	Cytoplasm	cyt_prot__EGF_1__EGFR_1__ERBB4_1_ => cyt_prot__ERBB4_1_ + cyt_prot__EGF_1__EGFR_1_	kR20_1*cyt_prot__EGF_1__EGFR_1__ERBB4_1_
vR21	Cytoplasm	exc_prot__NRG1_1_ + cyt_prot__EGF_1__EGFR_1__ERBB4_1_ => cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB4_1_	kR21_1*exc_prot__NRG1_1_*cyt_prot__EGF_1__EGFR_1__ERBB4_1_
vR22	Cytoplasm	cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB4_1_ => exc_prot__NRG1_1_ + cyt_prot__EGF_1__EGFR_1__ERBB4_1_	kR22_1*cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB4_1_
vR23	Cytoplasm	cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB4_1_ => cyt_prot__EGF_1__EGFR_1_ + cyt_prot__NRG1_1__ERBB4_1_	kR23_1*cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB4_1_
vR24	Cytoplasm	cyt_prot__EGF_1__EGFR_1_ + cyt_prot__NRG1_1__ERBB4_1_ => cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB4_1_	kR24_1*cyt_prot__EGF_1__EGFR_1_*cyt_prot__NRG1_1__ERBB4_1_
vR25	Cytoplasm	exc_prot__NRG1_1_ + cyt_prot__ERBB3_1_ => cyt_prot__NRG1_1__ERBB3_1_	kR25_1*exc_prot__NRG1_1_*cyt_prot__ERBB3_1_
