speciesId	compartment	type	initialConcentration (nM)	solver	annotation
cyt_abs__ribosome_	Cytoplasm	Ribosome	1897.371866	Deterministic	GO:0005840
nuc_prot_i__P53_	Nucleus	Protein	296.618651	Deterministic	P04637
nuc_prot_a__P53_	Nucleus	Protein	6.24613433	Deterministic	P04637
nuc_prot__MDM2_1_	Nucleus	Protein	205.6185213	Deterministic	Q00987-1
nuc_prot__PPM1D_1_	Nucleus	Protein	2.230730408	Deterministic	O15297-1
nuc_prot_a__ATM_	Nucleus	Protein	0.0	Deterministic	Q13315
nuc_prot_a__ATR_1_	Nucleus	Protein	0.0	Deterministic	Q13535-1
nuc_abs__MDM2delay1_	Nucleus	Protein	6.24613433	Deterministic	Q00987-1
nuc_abs__MDM2delay2_	Nucleus	Protein	6.24613433	Deterministic	Q00987-1
nuc_abs__MDM2delay3_	Nucleus	Protein	6.24613433	Deterministic	Q00987-1
nuc_abs__MDM2delay4_	Nucleus	Protein	6.24613433	Deterministic	Q00987-1
nuc_abs__MDM2delay5_	Nucleus	Protein	6.24613433	Deterministic	Q00987-1
nuc_abs__MDM2delay6_	Nucleus	Protein	6.24613433	Deterministic	Q00987-1
nuc_abs__MDM2delay7_	Nucleus	Protein	6.24613433	Deterministic	Q00987-1
nuc_abs__MDM2delay8_	Nucleus	Protein	6.24613433	Deterministic	Q00987-1
nuc_abs__MDM2delay9_	Nucleus	Protein	6.24613433	Deterministic	Q00987-1
nuc_abs__MDM2delay10_	Nucleus	Protein	6.24613433	Deterministic	Q00987-1
nuc_abs__WIP1delay1_	Nucleus	Protein	6.24613433	Deterministic	O15297-1
nuc_abs__WIP1delay2_	Nucleus	Protein	6.24613433	Deterministic	O15297-1
nuc_abs__WIP1delay3_	Nucleus	Protein	6.24613433	Deterministic	O15297-1
nuc_abs__WIP1delay4_	Nucleus	Protein	6.24613433	Deterministic	O15297-1
nuc_abs__WIP1delay5_	Nucleus	Protein	6.24613433	Deterministic	O15297-1
nuc_abs__WIP1delay6_	Nucleus	Protein	6.24613433	Deterministic	O15297-1
nuc_abs__WIP1delay7_	Nucleus	Protein	6.24613433	Deterministic	O15297-1
nuc_abs__WIP1delay8_	Nucleus	Protein	6.24613433	Deterministic	O15297-1
nuc_abs__WIP1delay9_	Nucleus	Protein	6.24613433	Deterministic	O15297-1
nuc_abs__WIP1delay10_	Nucleus	Protein	6.24613433	Deterministic	O15297-1
nuc_prot__BRCA2_	Nucleus	Protein	0.8217966444	Deterministic	P51587
nuc_prot__MSH6_1_	Nucleus	Protein	45.50365668	Deterministic	P52701-1
nuc_prot__MGMT_	Nucleus	Protein	120.2551816	Deterministic	P16455
nuc_abs__DNADoubleStrandBreak_	Nucleus	Compound	0.0002439506892	Deterministic	CHEMBL454708
nuc_abs__DNASingleStrandBreak_	Nucleus	Compound	6.05e-06	Deterministic	GO:0000012
nuc_cong__p_p_AKT__MDM2_1_	Nucleus	Protein	0.0	Deterministic	P31749,Q00987-1,P31751
nuc_prot__p_MDM2_1_	Nucleus	Protein	0.0	Deterministic	Q00987-1
nuc_prot__ARF_1_	Nucleus	Protein	0.0	Deterministic	Q8N726-1
nuc_prot__MDM4_1_	Nucleus	Protein	0.02721568768	Deterministic	O15151-1
nuc_prot_a__P53__MDM4_1_	Nucleus	Protein	0.0	Deterministic	P04637,O15151-1
nuc_prot_i__ATM_	Nucleus	Protein	1.503759502	Deterministic	Q13315
nuc_prot_i__ATR_1_	Nucleus	Protein	2.400324008	Deterministic	Q13535-1
nuc_prot__RB_	Nucleus	Protein	7983.140007	Deterministic	P06400
nuc_prot__pT373_RB_	Nucleus	Protein	0.5354928863	Deterministic	P06400
nuc_prot__pT373_pS807_pS811_RB_	Nucleus	Protein	0.006971196379	Deterministic	P06400
nuc_cong__E2F_	Nucleus	Protein	1117.207529	Deterministic	Q01094,Q14209,O00716
nuc_cong__CCND_	Nucleus	Protein	0.2333115979	Deterministic	P24385,P30279,P30281
nuc_cong_i__CCND__CDK4and6_	Nucleus	Protein	0.5891171682	Deterministic	P24385,P30279,P30281,P11802,Q00534
nuc_cong__CCND__CDK4and6_	Nucleus	Protein	3.85369761	Deterministic	P24385,P30279,P30281,P11802,Q00534
nuc_cong__CCND__CDK4and6__CDN1B_	Nucleus	Protein	0.787522147	Deterministic	P24385,P30279,P30281,P11802,Q00534,P46527
nuc_cong__CCNE_	Nucleus	Protein	0.2553392305	Deterministic	P24864,O96020
nuc_cong_i__CCNE__CDK2_	Nucleus	Protein	0.8895689476	Deterministic	P24864,O96020,P24941
nuc_cong__CCNE__CDK2_	Nucleus	Protein	2.746655183	Deterministic	P24864,O96020,P24941
nuc_prot__SKP2_1_	Nucleus	Protein	11.40896301	Deterministic	Q13309-1
nuc_cong__CCNE__CDK2__CDN1B_	Nucleus	Protein	1.122585115	Deterministic	P24864,O96020,P24941 P46527
nuc_prot__MPIP1_1_	Nucleus	Protein	141.2881402	Deterministic	P30304-1
nuc_prot_i__MPIP2_1_	Nucleus	Protein	49.17500389	Deterministic	P30305-1
nuc_prot_i__MPIP1_1_	Nucleus	Protein	16.02256602	Deterministic	P30304-1
nuc_prot_i__MPIP3_1_	Nucleus	Protein	55.29821475	Deterministic	P30307-1
nuc_prot__CCNA2_	Nucleus	Protein	4.029092509	Deterministic	P20248
nuc_prot_i__CCNA__CDK2_	Nucleus	Protein	14.03683866	Deterministic	P20248,P24941
nuc_prot__CCNA__CDK2_	Nucleus	Protein	5.235356085	Deterministic	P20248,P24941
nuc_prot__CCNA__CDK2__CDN1B_	Nucleus	Protein	1.283844951	Deterministic	P20248,P24941,P46527
nuc_prot__CDN1B_	Nucleus	Protein	20.43549408	Deterministic	P46527
nuc_prot_i__FZR1_1_	Nucleus	Protein	0.5985884632	Deterministic	P12830-1
nuc_prot_a__FZR1_1_	Nucleus	Protein	108.8028846	Deterministic	P12830-1
nuc_cong__p_E2F_	Nucleus	Protein	11.60507992	Deterministic	Q01094,Q14209,O00716
nuc_prot__pT187_CDN1B_	Nucleus	Protein	4.204625911	Deterministic	P46527
nuc_prot__MPIP2_1_	Nucleus	Protein	41.64971959	Deterministic	P30305-1
nuc_cong__CCNB_	Nucleus	Protein	3.443669431	Deterministic	P14635
nuc_cong_i__CCNB__CDK1_	Nucleus	Protein	3.901124927	Deterministic	P14635,Q8WWL7,P06493
nuc_cong__CCNB__CDK1_	Nucleus	Protein	0.6842719645	Deterministic	P14635,P06493
nuc_prot_i__CDC20_	Nucleus	Protein	71.16747301	Deterministic	Q12834
