speciesId	compartment	initialConcentration (nM)	solver
cyt_abs__ribosome_	Cytoplasm	1897.371866000000000	Deterministic
nuc_prot_i__P53_	Nucleus	296.618651000000000	Deterministic
nuc_prot_a__P53_	Nucleus	6.246134330000000	Deterministic
nuc_prot__MDM2_1_	Nucleus	205.618521300000000	Deterministic
nuc_prot__PPM1D_1_	Nucleus	2.230730408000000	Deterministic
nuc_prot_a__ATM_	Nucleus	0.000000000000000	Deterministic
nuc_prot_a__ATR_1_	Nucleus	0.000000000000000	Deterministic
nuc_abs__MDM2delay1_	Nucleus	6.246134330000000	Deterministic
nuc_abs__MDM2delay2_	Nucleus	6.246134330000000	Deterministic
nuc_abs__MDM2delay3_	Nucleus	6.246134330000000	Deterministic
nuc_abs__MDM2delay4_	Nucleus	6.246134330000000	Deterministic
nuc_abs__MDM2delay5_	Nucleus	6.246134330000000	Deterministic
nuc_abs__MDM2delay6_	Nucleus	6.246134330000000	Deterministic
nuc_abs__MDM2delay7_	Nucleus	6.246134330000000	Deterministic
nuc_abs__MDM2delay8_	Nucleus	6.246134330000000	Deterministic
nuc_abs__MDM2delay9_	Nucleus	6.246134330000000	Deterministic
nuc_abs__MDM2delay10_	Nucleus	6.246134330000000	Deterministic
nuc_abs__WIP1delay1_	Nucleus	6.246134330000000	Deterministic
nuc_abs__WIP1delay2_	Nucleus	6.246134330000000	Deterministic
nuc_abs__WIP1delay3_	Nucleus	6.246134330000000	Deterministic
nuc_abs__WIP1delay4_	Nucleus	6.246134330000000	Deterministic
nuc_abs__WIP1delay5_	Nucleus	6.246134330000000	Deterministic
nuc_abs__WIP1delay6_	Nucleus	6.246134330000000	Deterministic
nuc_abs__WIP1delay7_	Nucleus	6.246134330000000	Deterministic
nuc_abs__WIP1delay8_	Nucleus	6.246134330000000	Deterministic
nuc_abs__WIP1delay9_	Nucleus	6.246134330000000	Deterministic
nuc_abs__WIP1delay10_	Nucleus	6.246134330000000	Deterministic
nuc_prot__BRCA2_	Nucleus	0.821796644400000	Deterministic
nuc_prot__MSH6_1_	Nucleus	45.503656680000000	Deterministic
nuc_prot__MGMT_	Nucleus	120.255181600000000	Deterministic
nuc_abs__DNADoubleStrandBreak_	Nucleus	0.000243950689200	Deterministic
nuc_abs__DNASingleStrandBreak_	Nucleus	0.000006050000000	Deterministic
nuc_cong__p_p_AKT__MDM2_1_	Nucleus	0.000000000000000	Deterministic
nuc_prot__p_MDM2_1_	Nucleus	0.000000000000000	Deterministic
nuc_prot__ARF_1_	Nucleus	0.000000000000000	Deterministic
nuc_prot__MDM4_1_	Nucleus	0.027215687680000	Deterministic
nuc_prot_a__P53__MDM4_1_	Nucleus	0.000000000000000	Deterministic
nuc_prot_i__ATM_	Nucleus	1.503759502000000	Deterministic
nuc_prot_i__ATR_1_	Nucleus	2.400324008000000	Deterministic
nuc_prot__RB_	Nucleus	7983.140007000000000	Deterministic
nuc_prot__pT373_RB_	Nucleus	0.535492886300000	Deterministic
nuc_prot__pT373_pS807_pS811_RB_	Nucleus	0.006971196379000	Deterministic
nuc_cong__E2F_	Nucleus	1117.207529000000000	Deterministic
nuc_cong__CCND_	Nucleus	0.233311597900000	Deterministic
nuc_cong_i__CCND__CDK4and6_	Nucleus	0.589117168200000	Deterministic
nuc_cong__CCND__CDK4and6_	Nucleus	3.853697610000000	Deterministic
nuc_cong__CCND__CDK4and6__CDN1B_	Nucleus	0.787522147000000	Deterministic
nuc_cong__CCNE_	Nucleus	0.255339230500000	Deterministic
nuc_cong_i__CCNE__CDK2_	Nucleus	0.889568947600000	Deterministic
nuc_cong__CCNE__CDK2_	Nucleus	2.746655183000000	Deterministic
nuc_prot__SKP2_1_	Nucleus	11.408963010000000	Deterministic
nuc_cong__CCNE__CDK2__CDN1B_	Nucleus	1.122585115000000	Deterministic
nuc_prot__MPIP1_1_	Nucleus	141.288140200000000	Deterministic
nuc_prot_i__MPIP2_1_	Nucleus	49.175003890000000	Deterministic
nuc_prot_i__MPIP1_1_	Nucleus	16.022566020000000	Deterministic
nuc_prot_i__MPIP3_1_	Nucleus	55.298214750000000	Deterministic
nuc_prot__CCNA2_	Nucleus	4.029092509000000	Deterministic
nuc_prot_i__CCNA__CDK2_	Nucleus	14.036838660000000	Deterministic
nuc_prot__CCNA__CDK2_	Nucleus	5.235356085000000	Deterministic
nuc_prot__CCNA__CDK2__CDN1B_	Nucleus	1.283844951000000	Deterministic
nuc_prot__CDN1B_	Nucleus	20.435494080000000	Deterministic
nuc_prot_i__FZR1_1_	Nucleus	0.598588463200000	Deterministic
nuc_prot_a__FZR1_1_	Nucleus	108.802884600000000	Deterministic
nuc_cong__p_E2F_	Nucleus	11.605079920000000	Deterministic
nuc_prot__pT187_CDN1B_	Nucleus	4.204625911000000	Deterministic
nuc_prot__MPIP2_1_	Nucleus	41.649719590000000	Deterministic
nuc_cong__CCNB_	Nucleus	3.443669431000000	Deterministic
nuc_cong_i__CCNB__CDK1_	Nucleus	3.901124927000000	Deterministic
nuc_cong__CCNB__CDK1_	Nucleus	0.684271964500000	Deterministic
nuc_prot_i__CDC20_	Nucleus	71.167473010000000	Deterministic
nuc_prot_a__CDC20_	Nucleus	0.730146344800000	Deterministic
nuc_prot__MPIP3_1_	Nucleus	9.403016576000000	Deterministic
nuc_prot__WEE1_1_	Nucleus	26.518892800000000	Deterministic
nuc_prot__pS123_WEE1_1_	Nucleus	16.740415120000000	Deterministic
nuc_cong__CCNB__CDK1__CDN1B_	Nucleus	0.083900622970000	Deterministic
nuc_prot__CHK1_1_	Nucleus	0.149772043900000	Deterministic
nuc_cong__RB__E2F_	Nucleus	8918.824124000000000	Deterministic
nuc_cong__pT373_RB__E2F_	Nucleus	0.299128468900000	Deterministic
nuc_prot__CDN1A_1_	Nucleus	20.873409310000000	Deterministic
nuc_cong__CCND__CDK4and6__CDN1A_	Nucleus	0.482638981800000	Deterministic
nuc_cong__CCNE__CDK2__CDN1A_	Nucleus	0.229328255800000	Deterministic
nuc_cong__CCNA__CDK2__CDN1A_	Nucleus	0.262271404900000	Deterministic
nuc_cong__CCNB__CDK1__CDN1A_	Nucleus	0.017139702320000	Deterministic
exc_prot__TNF10_1_	Extracellular	0.000000000000000	Deterministic
cyt_cong__TNFRSF10_	Cytoplasm	8.031117651000000	Deterministic
cyt_cong__TNF10_1__TNFRSF10_	Cytoplasm	0.000000000000000	Deterministic
cyt_cong_a__TNF10_1__TNFRSF10_	Cytoplasm	0.000000000000000	Deterministic
